Time (UTC), Frequency (MHz),Level (dB/Hz)
1433497355.0, 87.1015625, -49.0514577924
1433497355.0, 87.103515625, -49.0532201244
1433497355.0, 87.10546875, -49.0548401556
1433497355.0, 87.107421875, -49.0570750295
1433497355.0, 87.109375, -49.0587689435
1433497355.0, 87.111328125, -49.0600289754
1433497355.0, 87.11328125, -49.0615583787
1433497355.0, 87.115234375, -49.063175734
1433497355.0, 87.1171875, -49.0643979338
1433497355.0, 87.119140625, -49.0652076569
1433497355.0, 87.12109375, -49.0660268581
1433497355.0, 87.123046875, -49.0668883749
1433497355.0, 87.125, -49.0670723826
1433497355.0, 87.126953125, -49.0676793189
1433497355.0, 87.12890625, -49.0682257646
1433497355.0, 87.130859375, -49.0684399021
1433497355.0, 87.1328125, -49.0689220773
1433497355.0, 87.134765625, -49.0694385634
1433497355.0, 87.13671875, -49.0695883429
1433497355.0, 87.138671875, -49.0690689378
1433497355.0, 87.140625, -49.0685438471
1433497355.0, 87.142578125, -49.0681096974
1433497355.0, 87.14453125, -49.0675466825
1433497355.0, 87.146484375, -49.0669349858
1433497355.0, 87.1484375, -49.0661737134
1433497355.0, 87.150390625, -49.0654773298
1433497355.0, 87.15234375, -49.0643647627
1433497355.0, 87.154296875, -49.0632404069
1433497355.0, 87.15625, -49.0623423448
1433497355.0, 87.158203125, -49.0611287573
1433497355.0, 87.16015625, -49.0595011058
1433497355.0, 87.162109375, -49.0569372685
1433497355.0, 87.1640625, -49.0550537815
1433497355.0, 87.166015625, -49.0540900249
1433497355.0, 87.16796875, -49.0527295252
1433497355.0, 87.169921875, -49.0503535214
1433497355.0, 87.171875, -49.0475012825
1433497355.0, 87.173828125, -49.0451267289
1433497355.0, 87.17578125, -49.0431576603
1433497355.0, 87.177734375, -49.0418731646
1433497355.0, 87.1796875, -49.0400174867
1433497355.0, 87.181640625, -49.0369044972
1433497355.0, 87.18359375, -49.0345021918
1433497355.0, 87.185546875, -49.0324461305
1433497355.0, 87.1875, -49.0306000985
1433497355.0, 87.189453125, -49.0288473275
1433497355.0, 87.19140625, -49.026224212
1433497355.0, 87.193359375, -49.0239300515
1433497355.0, 87.1953125, -49.0218496939
1433497355.0, 87.197265625, -49.0197472906
1433497355.0, 87.19921875, -49.018099807
1433497355.0, 87.201171875, -49.0157159611
1433497355.0, 87.203125, -49.0132735187
1433497355.0, 87.205078125, -49.0111604216
1433497355.0, 87.20703125, -49.0089156234
1433497355.0, 87.208984375, -49.0069673003
1433497355.0, 87.2109375, -49.0050261264
1433497355.0, 87.212890625, -49.0028391066
1433497355.0, 87.21484375, -49.0010492976
1433497355.0, 87.216796875, -48.9989151713
1433497355.0, 87.21875, -48.9971287582
1433497355.0, 87.220703125, -48.9950642019
1433497355.0, 87.22265625, -48.9933924129
1433497355.0, 87.224609375, -48.9924796832
1433497355.0, 87.2265625, -48.9909997291
1433497355.0, 87.228515625, -48.9901845549
1433497355.0, 87.23046875, -48.9894347552
1433497355.0, 87.232421875, -48.9880742209
1433497355.0, 87.234375, -48.9865813563
1433497355.0, 87.236328125, -48.9857840849
1433497355.0, 87.23828125, -48.9849079449
1433497355.0, 87.240234375, -48.9838994031
1433497355.0, 87.2421875, -48.9831626301
1433497355.0, 87.244140625, -48.9820307329
1433497355.0, 87.24609375, -48.9811536435
1433497355.0, 87.248046875, -48.9799131546
1433497355.0, 87.25, -48.9788195694
1433497355.0, 87.251953125, -48.97821538
1433497355.0, 87.25390625, -48.9785232065
1433497355.0, 87.255859375, -48.9785417646
1433497355.0, 87.2578125, -48.9782387147
1433497355.0, 87.259765625, -48.9778040539
1433497355.0, 87.26171875, -48.9773344683
1433497355.0, 87.263671875, -48.9769966427
1433497355.0, 87.265625, -48.9765367875
1433497355.0, 87.267578125, -48.9762942072
1433497355.0, 87.26953125, -48.9762428932
1433497355.0, 87.271484375, -48.9756804603
1433497355.0, 87.2734375, -48.9755261491
1433497355.0, 87.275390625, -48.9752557698
1433497355.0, 87.27734375, -48.9757612489
1433497355.0, 87.279296875, -48.9764001401
1433497355.0, 87.28125, -48.9766530097
1433497355.0, 87.283203125, -48.9764882847
